                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.2075,                0.86472,                 1.5427,                0.80981,                0.88961,                0.91311,                0.58614,                 1.0857,                0.76624,                 1.5563,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.2202,                0.86164,                 1.5646,                0.80154,                0.89345,                0.90154,                0.57124,                 1.0822,                0.77642,                 1.5532,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.1887,                0.85808,                 1.5388,                0.79387,                 0.9046,                0.90415,                0.57897,                 1.0825,                0.75751,                 1.5487,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.2151,                0.85303,                 1.5343,                0.76567,                 0.9045,                0.90131,                0.57374,                 1.0959,                0.79459,                 1.5601,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.2066,                0.83023,                 1.5325,                0.82725,                0.88461,                0.90821,                0.58987,                 1.0698,                0.75865,                  1.542,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.1878,                0.84564,                 1.5308,                0.82272,                0.89146,                0.91012,                0.58775,                 1.0698,                0.75271,                 1.5437,             0.00025479,             0.00025479,             0.00025479
                     86,                  1.179,                0.83452,                 1.5043,                0.80164,                0.89492,                0.90775,                0.58469,                 1.0766,                0.74857,                 1.5422,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.2013,                0.85101,                 1.5277,                0.82898,                0.89026,                0.91136,                0.58689,                 1.0756,                0.75492,                 1.5418,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.1957,                0.84969,                 1.5174,                0.82358,                0.89348,                0.90869,                0.58662,                  1.079,                0.75501,                 1.5424,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.1739,                0.81846,                 1.4962,                0.81206,                0.88836,                0.91195,                0.59137,                 1.0793,                0.74152,                 1.5458,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.1843,                  0.822,                 1.5067,                0.82923,                 0.8904,                0.91212,                0.58418,                  1.072,                0.74268,                 1.5414,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.1768,                0.92754,                  1.606,                 0.8006,                0.89884,                0.90834,                0.57904,                 1.1032,                 0.7741,                  1.571,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.1744,                0.89529,                 1.6003,                0.80309,                0.88686,                0.90516,                 0.5786,                 1.0858,                0.77306,                 1.5536,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.1337,                0.84907,                 1.5655,                0.82308,                0.87271,                0.90485,                0.57878,                 1.0729,                0.76684,                 1.5433,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.1225,                0.83022,                 1.5671,                0.82794,                0.88496,                0.91042,                0.58736,                 1.0709,                0.75933,                 1.5355,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.1494,                0.83124,                 1.5833,                0.82321,                0.88581,                0.91038,                0.58735,                 1.0654,                0.74758,                 1.5297,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.1214,                0.79916,                 1.5568,                0.80866,                0.89385,                 0.9086,                0.58391,                 1.0637,                0.74458,                 1.5299,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                  1.132,                0.82349,                 1.5818,                0.82099,                 0.8986,                0.91395,                0.59593,                 1.0569,                0.73845,                 1.5229,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.1192,                 0.7995,                 1.5604,                0.83282,                0.88897,                0.91354,                0.59589,                 1.0504,                0.73813,                 1.5156,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.1129,                0.79601,                 1.5601,                0.82786,                0.89398,                0.91429,                0.59549,                  1.056,                0.73705,                 1.5179,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.1169,                0.79852,                 1.5702,                0.82433,                0.89272,                0.91307,                 0.5962,                 1.0519,                0.73515,                 1.5161,             4.2584e-05,             4.2584e-05,             4.2584e-05
